mode,matrix_size,exec_time_ms,gflops,verified
CPU Sequential,256,43.732,0.7673,PASS
CPU Sequential,512,315.637,0.8505,PASS
CPU Sequential,1024,7811.235,0.2749,PASS
CPU Sequential,2048,126842.005,0.1354,PASS
OpenMP CPU Parallel,256,29.982,1.1191,PASS
OpenMP CPU Parallel,512,388.407,0.6911,PASS
OpenMP CPU Parallel,1024,8157.823,0.2632,PASS
OpenMP CPU Parallel,2048,84620.725,0.2030,PASS
CPU Sequential,1,0.000,0.0073,PASS
CPU Sequential,15,0.028,0.2430,PASS
CPU Sequential,17,0.006,1.6001,PASS
CPU Sequential,31,0.045,1.3374,PASS
CPU Sequential,33,0.051,1.4102,PASS
CPU Sequential,255,37.390,0.8869,PASS
CPU Sequential,257,54.178,0.6266,PASS
mpi-1,256,34.412,0.9751,PASS
mpi-1,512,357.026,0.7519,PASS
mpi-1,1024,7492.908,0.2866,PASS
mpi-1,2048,113245.736,0.1517,PASS
mpi-2,256,21.411,1.5672,PASS
mpi-2,512,210.259,1.2767,PASS
mpi-2,1024,5653.263,0.3799,PASS
mpi-2,2048,69900.285,0.2458,PASS
